services,date,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method,timestamp,year,month,hour,day_of_week,is_weekend,peak_hour,time_slot,completed,source_cancel_rate,demand_zone,demand_intensity,service_cancel_rate,avg_speed_kmh,fare_per_km,distance_category,duration_category,fare_category
cab_economy,2024-07-15,completed,balagere harbor,harohalli nagar,38,RD3161218751875354,9.22,307.71,9.44,317.15,amazon pay,2024-07-15 08:30:40,2024,7,8,0,0,1,morning_rush,1,0.125,high_demand,1.0,0.1074,14.56,34.4,medium,long,premium
auto,2024-07-05,completed,basavanagudi 3rd block,bikasipura 1st stage,14,RD8171514284594096,4.29,131.22,1.96,133.18,paytm,2024-07-05 23:36:51,2024,7,23,4,0,0,late_night,1,0.0,high_demand,0.96,0.1028,18.39,31.04,short,quick,standard
auto,2024-07-23,completed,kormangala,kothaguda terrace,22,RD9376481122237926,7.35,141.47,5.52,146.99,amazon pay,2024-07-23 11:05:37,2024,7,11,1,0,0,late_morning,1,0.0986,high_demand,1.05,0.1028,20.05,20.0,medium,moderate,standard
cab_economy,2024-06-24,completed,koramangala,kanakapura arc,84,RD3676889143182765,17.48,558.48,1.57,560.05,qr scan,2024-06-24 08:45:10,2024,6,8,0,0,1,morning_rush,1,0.1017,high_demand,1.0,0.1074,12.49,32.04,long,long,premium
cab_economy,2024-07-15,completed,ganganagar cove,basaveshwaranagar colony,38,RD6639410275948084,17.63,543.02,9.17,552.19,amazon pay,2024-07-15 00:26:44,2024,7,0,0,0,0,late_night,1,0.0,low_demand,0.98,0.1074,27.84,31.32,long,long,premium
bike,2024-07-02,completed,hsr layout area,jp nagar viewpoint,16,RD5922205486441934,4.28,66.71,7.71,74.42,qr scan,2024-07-02 01:28:29,2024,7,1,1,0,0,late_night,1,0.0,low_demand,1.01,0.1036,16.05,17.39,short,moderate,budget
cab_economy,2024-07-23,completed,arekere heights,dooravani nagar pointe,32,RD9557099396888459,10.37,262.2,0.04,262.24,gpay,2024-07-23 20:55:28,2024,7,20,1,0,0,night,1,0.0,medium_demand,1.0,0.1074,19.44,25.29,medium,long,premium
parcel,2024-07-18,completed,electronic city village,ganganagar station,5,RD9473873953525644,1.12,33.92,4.06,37.98,qr scan,2024-07-18 13:38:33,2024,7,13,3,0,0,afternoon,1,0.0,medium_demand,1.02,0.1053,13.44,33.91,short,quick,budget
bike,2024-08-08,cancelled,mysore road lane,billekahalli 6th block,19,RD1285566012167240,6.43,0.0,0.0,0.0,not_applicable,2024-08-08 07:59:53,2024,8,7,3,0,0,morning_rush,0,0.5,medium_demand,1.02,0.1036,20.31,0.0,medium,moderate,cancelled
bike,2024-07-10,completed,kundalahalli alley,rt nagar 5th block,5,RD7238628094142076,2.96,37.17,2.26,39.43,qr scan,2024-07-10 12:30:00,2024,7,12,2,0,0,late_morning,1,0.2,medium_demand,1.0,0.1036,35.52,13.32,short,quick,budget
auto,2024-08-03,completed,kormangala,nagawara layout,13,RD0988431403518514,4.05,85.23,2.03,87.26,qr scan,2024-08-03 16:57:14,2024,8,16,5,1,0,evening_rush,1,0.0986,high_demand,0.98,0.1028,18.69,21.55,short,quick,standard
cab_economy,2024-08-10,completed,mahadevapura track,whitefield cut,10,RD7341504775683700,3.95,135.96,2.77,138.73,paytm,2024-08-10 13:46:07,2024,8,13,5,1,0,afternoon,1,0.0,medium_demand,1.02,0.1074,23.7,35.12,short,quick,standard
parcel,2024-08-15,completed,bhadrappa layout vista,subramanyapura road,24,RD0256680118366791,8.14,94.54,5.52,100.06,paytm,2024-08-15 22:59:04,2024,8,22,3,0,0,night,1,0.0,low_demand,1.01,0.1053,20.35,12.29,medium,moderate,standard
bike,2024-07-22,completed,frazer town works,hebbal kempapura viewpoint,26,RD7115059402806582,3.98,63.71,5.52,69.23,paytm,2024-07-22 13:07:16,2024,7,13,0,0,0,afternoon,1,0.0,medium_demand,1.02,0.1036,9.18,17.39,short,moderate,budget
bike,2024-07-24,completed,nagawara dam,dommasandra colony,15,RD2369646812729540,4.78,79.5,2.8,82.3,paytm,2024-07-24 05:35:38,2024,7,5,2,0,0,late_night,1,0.0,low_demand,1.01,0.1036,19.12,17.22,short,quick,standard
bike,2024-07-26,completed,sonnenahalli layout,kothanur loop,19,RD8047989809002405,3.75,74.86,3.41,78.27,paytm,2024-07-26 18:53:03,2024,7,18,4,0,1,evening_rush,1,0.0,medium_demand,1.0,0.1036,11.84,20.87,short,moderate,standard
auto,2024-06-28,completed,hulimavu cutting,hrbr layout valley,16,RD3592571330485165,3.69,101.79,8.63,110.42,amazon pay,2024-06-28 22:55:08,2024,6,22,4,0,0,night,1,0.0,low_demand,1.01,0.1028,13.84,29.92,short,moderate,standard
auto,2024-08-08,completed,billekahalli cove,hennur road 1st block,15,RD8817673455871975,3.29,82.01,4.61,86.62,gpay,2024-08-08 11:59:04,2024,8,11,3,0,0,late_morning,1,0.0,medium_demand,1.05,0.1028,13.16,26.33,short,quick,standard
parcel,2024-08-08,completed,banaswadi district,sadashiva nagar court,29,RD1385843052752492,10.97,185.27,12.62,197.89,amazon pay,2024-08-08 00:57:02,2024,8,0,3,0,0,late_night,1,0.1,high_demand,0.98,0.1053,22.7,18.04,medium,moderate,premium
parcel,2024-07-22,completed,hebbal kempapura ridge,ramnagar 1st stage,20,RD7208906531384606,4.5,86.38,23.24,109.62,paytm,2024-07-22 10:04:38,2024,7,10,0,0,1,late_morning,1,0.5,low_demand,1.0,0.1053,13.5,24.36,short,moderate,standard
auto,2024-07-03,completed,rajarajeshwari nagar bridge,iti layout close,26,RD0654632158879742,11.81,271.16,6.97,278.13,gpay,2024-07-03 01:01:29,2024,7,1,2,0,0,late_night,1,0.0,medium_demand,1.01,0.1028,27.25,23.55,medium,moderate,premium
cab_economy,2024-07-08,completed,kudlu gate fields,subramanyapura pass,58,RD2239177732142431,24.4,618.32,5.02,623.34,gpay,2024-07-08 01:16:16,2024,7,1,0,0,0,late_night,1,0.3333,low_demand,1.01,0.1074,25.24,25.55,long,long,premium
auto,2024-07-01,completed,byatarayanapura plaza,koramangala 6th block ridge,35,RD1117035760652729,15.34,282.25,1.36,283.61,gpay,2024-07-01 07:18:36,2024,7,7,0,0,0,morning_rush,1,0.0,low_demand,1.02,0.1028,26.3,18.49,long,long,premium
bike,2024-06-21,completed,whitefield hills,mg road hills,16,RD4226811079858075,3.94,50.45,2.02,52.47,gpay,2024-06-21 06:23:04,2024,6,6,4,0,0,morning_rush,1,0.0,medium_demand,1.0,0.1036,14.78,13.32,short,moderate,budget
auto,2024-08-03,completed,koramangala 4th block place,jakkasandra landing,118,RD1382587140891268,20.97,706.92,2.41,709.33,gpay,2024-08-03 08:46:32,2024,8,8,5,1,1,morning_rush,1,0.0,low_demand,1.0,0.1028,10.66,33.83,long,long,premium
bike,2024-06-29,cancelled,balagere 1st stage,sonnenahalli lane,25,RD4382177005818484,8.03,0.0,0.0,0.0,not_applicable,2024-06-29 01:00:58,2024,6,1,5,1,0,late_night,0,1.0,low_demand,1.01,0.1036,19.27,0.0,medium,moderate,cancelled
parcel,2024-07-02,completed,kothaguda vista,bagalur lane,18,RD7958326265710860,4.36,86.55,2.95,89.5,paytm,2024-07-02 04:10:03,2024,7,4,1,0,0,late_night,1,0.0,medium_demand,1.0,0.1053,14.53,20.53,short,moderate,standard
cab_economy,2024-06-28,completed,jakkur meadows,rajarajeshwari nagar pass,43,RD1055432783395596,12.08,443.28,14.6,457.88,paytm,2024-06-28 01:18:09,2024,6,1,4,0,0,late_night,1,0.0,low_demand,1.01,0.1074,16.86,37.9,medium,long,premium
cab_economy,2024-07-20,completed,vidyaranyapura summit,agara mews,37,RD8925634951822521,14.26,336.49,5.52,342.01,paytm,2024-07-20 12:24:50,2024,7,12,5,1,0,late_morning,1,0.0,high_demand,1.0,0.1074,23.12,23.98,medium,long,premium
bike,2024-08-05,completed,kaval byrasandra run,harohalli fields,29,RD3943555672355131,6.73,85.14,4.18,89.32,qr scan,2024-08-05 16:43:22,2024,8,16,0,0,0,evening_rush,1,0.0,low_demand,0.98,0.1036,13.92,13.27,medium,moderate,standard
auto,2024-07-06,completed,chikkagubbi village,horamavu banaswadi alcove,30,RD7321545592072979,11.11,201.86,5.52,207.38,gpay,2024-07-06 11:05:31,2024,7,11,5,1,0,late_morning,1,0.0,medium_demand,1.05,0.1028,22.22,18.67,medium,moderate,premium
cab_economy,2024-08-01,completed,hrbr layout terrace,dasarahalli quay,13,RD4559266573098093,4.32,143.1,0.72,143.82,paytm,2024-08-01 14:58:16,2024,8,14,3,0,0,afternoon,1,0.0,high_demand,0.97,0.1074,19.94,33.29,short,quick,standard
cab_economy,2024-07-22,completed,jp nagar 6th block,ganganagar cut,18,RD1722345523604383,4.97,213.12,16.77,229.89,amazon pay,2024-07-22 01:09:16,2024,7,1,0,0,0,late_night,1,0.0,low_demand,1.01,0.1074,16.57,46.26,short,moderate,premium
bike,2024-07-25,completed,bellandur ridge,devarachikkanahalli heights,21,RD5941720751250248,6.44,69.56,4.89,74.45,paytm,2024-07-25 15:01:32,2024,7,15,3,0,0,afternoon,1,0.1429,high_demand,1.0,0.1036,18.4,11.56,medium,moderate,budget
auto,2024-08-12,completed,kudlu gate farms,attibele plaza,5,RD4046588375441329,1.5,48.18,4.06,52.24,paytm,2024-08-12 15:44:06,2024,8,15,0,0,0,afternoon,1,0.0,low_demand,1.0,0.1028,18.0,34.83,short,quick,budget
auto,2024-07-23,cancelled,rachenahalli depot,madiwala cut,35,RD7350321719400471,7.45,0.0,0.0,0.0,not_applicable,2024-07-23 10:50:00,2024,7,10,1,0,1,late_morning,0,0.25,medium_demand,1.0,0.1028,12.77,0.0,medium,long,cancelled
auto,2024-08-10,completed,dooravani nagar station,avalahalli cove,17,RD4144498193705965,5.15,111.2,1.46,112.66,gpay,2024-08-10 21:19:50,2024,8,21,5,1,0,night,1,0.0,medium_demand,1.0,0.1028,18.18,21.88,medium,moderate,standard
bike,2024-07-28,completed,ramnagar crescent,jayanagar pier,10,RD9772479317279932,1.42,42.85,11.0,53.85,amazon pay,2024-07-28 17:55:30,2024,7,17,6,1,1,evening_rush,1,0.0,medium_demand,1.0,0.1036,8.52,37.92,short,quick,budget
bike,2024-07-23,completed,koramangala,chikkalasandra pass,16,RD7577082038350614,6.05,59.07,1.85,60.92,paytm,2024-07-23 16:28:51,2024,7,16,1,0,0,evening_rush,1,0.1017,high_demand,0.98,0.1036,22.69,10.07,medium,moderate,budget
bike_lite,2024-07-08,completed,bhuvaneshwari nagar trail,chandra layout alley,8,RD6340674467746910,3.59,40.24,15.33,55.57,paytm,2024-07-08 04:44:56,2024,7,4,0,0,0,late_night,1,0.25,medium_demand,1.0,0.0995,26.92,15.48,short,quick,budget
cab_economy,2024-07-23,completed,doddaballapur district,sarjapur farms,22,RD2235816582429647,8.49,202.1,2.26,204.36,qr scan,2024-07-23 16:31:17,2024,7,16,1,0,0,evening_rush,1,0.0,medium_demand,0.98,0.1074,23.15,24.07,medium,moderate,premium
auto,2024-06-24,completed,chikkajala quarry,jp nagar trail,54,RD1217475833620683,28.59,408.8,8.13,416.93,paytm,2024-06-24 07:24:54,2024,6,7,0,0,0,morning_rush,1,0.0,low_demand,1.02,0.1028,31.77,14.58,long,long,premium
bike,2024-07-22,completed,whitefield district,devarachikkanahalli esplanade,12,RD8131157570752979,2.49,38.56,12.78,51.34,paytm,2024-07-22 22:37:33,2024,7,22,0,0,0,night,1,0.0,medium_demand,1.01,0.1036,12.45,20.62,short,quick,budget
auto,2024-06-26,completed,banashankari viewpoint,bellandur outer ring road village,48,RD2539243082211667,7.81,312.1,9.05,321.15,qr scan,2024-06-26 08:16:18,2024,6,8,2,0,1,morning_rush,1,0.25,medium_demand,1.0,0.1028,9.76,41.12,medium,long,premium
auto,2024-08-06,cancelled,sarjapur quarry,kengeri close,19,RD1555077673954099,3.53,0.0,0.0,0.0,not_applicable,2024-08-06 21:18:28,2024,8,21,1,0,0,night,0,0.3333,high_demand,1.0,0.1028,11.15,0.0,short,moderate,cancelled
bike,2024-07-27,completed,munnekollal square,koramangala 7th block landing,59,RD9106570890666222,18.07,168.87,5.52,174.39,paytm,2024-07-27 05:56:36,2024,7,5,5,1,0,late_night,1,0.0,medium_demand,1.01,0.1036,18.38,9.65,long,long,premium
bike,2024-06-23,completed,koramangala 8th block court,whitefield yard,9,RD3499114958541606,4.45,42.64,4.12,46.76,qr scan,2024-06-23 13:01:37,2024,6,13,6,1,0,afternoon,1,0.0,low_demand,1.02,0.1036,29.67,10.51,short,quick,budget
bike_lite,2024-06-28,completed,kudlu gate cove,hulimavu fields,9,RD5465696192903363,5.39,36.75,14.46,51.21,amazon pay,2024-06-28 12:34:51,2024,6,12,4,0,0,late_morning,1,0.0,medium_demand,1.0,0.0995,35.93,9.5,medium,quick,budget
bike_lite,2024-08-04,completed,jakkur view,koramangala 4th stage,9,RD4518928319915400,4.23,35.16,42.71,77.87,gpay,2024-08-04 12:14:32,2024,8,12,6,1,0,late_morning,1,0.0,medium_demand,1.0,0.0995,28.2,18.41,short,quick,standard
bike,2024-08-02,completed,nayandahalli meadows,horamavu zone,19,RD2000076619721455,3.91,80.31,0.42,80.73,amazon pay,2024-08-02 08:56:58,2024,8,8,4,0,1,morning_rush,1,0.1667,high_demand,1.0,0.1036,12.35,20.65,short,moderate,standard
cab_economy,2024-07-07,completed,bommanahalli plaza,basavanagudi pointe,35,RD6532816509887593,11.03,341.01,11.91,352.92,gpay,2024-07-07 05:18:40,2024,7,5,6,1,0,late_night,1,0.0,medium_demand,1.01,0.1074,18.91,32.0,medium,long,premium
bike,2024-07-04,completed,harohalli fields,sanjay nagar district,43,RD1904744635291394,12.98,177.53,9.59,187.12,amazon pay,2024-07-04 17:55:31,2024,7,17,3,0,1,evening_rush,1,0.0,medium_demand,1.0,0.1036,18.11,14.42,medium,long,premium
bike,2024-07-23,completed,jayanagar village,hennur farms,50,RD8085277544074809,10.44,188.64,24.25,212.89,gpay,2024-07-23 17:59:05,2024,7,17,1,0,1,evening_rush,1,0.0,medium_demand,1.0,0.1036,12.53,20.39,medium,long,premium
bike,2024-08-13,cancelled,nagawara nagar,chikkalasandra 4th stage,6,RD8540894002304472,3.8,0.0,0.0,0.0,not_applicable,2024-08-13 01:07:33,2024,8,1,1,0,0,late_night,0,0.2,medium_demand,1.01,0.1036,38.0,0.0,short,quick,cancelled
bike,2024-06-24,cancelled,hosur fork,bommanahalli passage,20,RD9207429821660459,1.97,0.0,0.0,0.0,not_applicable,2024-06-24 08:16:15,2024,6,8,0,0,1,morning_rush,0,0.6667,low_demand,1.0,0.1036,5.91,0.0,short,moderate,cancelled
auto,2024-08-06,completed,bikasipura cut,chikkagubbi 2nd stage,15,RD8572097109759067,3.77,93.5,5.52,99.02,paytm,2024-08-06 23:49:54,2024,8,23,1,0,0,late_night,1,0.25,medium_demand,0.96,0.1028,15.08,26.27,short,quick,standard
bike,2024-08-01,completed,marathahalli pointe,agara drive,14,RD7335910948713877,1.3,34.18,13.72,47.9,qr scan,2024-08-01 06:16:57,2024,8,6,3,0,0,morning_rush,1,0.0,medium_demand,1.0,0.1036,5.57,36.85,short,quick,budget
cab_economy,2024-07-26,completed,kudlu district,bikasipura trail,39,RD2580649401514739,10.97,266.04,0.61,266.65,qr scan,2024-07-26 21:45:48,2024,7,21,4,0,0,night,1,0.1667,high_demand,1.0,0.1074,16.88,24.31,medium,long,premium
bike,2024-08-03,completed,agara plaza,hsr layout passage,12,RD0651284665872375,2.15,34.25,3.18,37.43,amazon pay,2024-08-03 15:25:44,2024,8,15,5,1,0,afternoon,1,0.25,medium_demand,1.0,0.1036,10.75,17.41,short,quick,budget
bike,2024-06-30,completed,anekal landing,srirampura esplanade,14,RD3822808658086783,5.61,64.87,9.83,74.7,gpay,2024-06-30 00:38:35,2024,6,0,6,1,0,late_night,1,0.0,high_demand,0.98,0.1036,24.04,13.32,medium,quick,budget
bike,2024-07-26,completed,dodda banaswadi mews,chikka banaswadi 6th stage,18,RD6039948836070685,4.04,63.05,38.05,101.1,paytm,2024-07-26 23:36:26,2024,7,23,4,0,0,late_night,1,0.2,medium_demand,0.96,0.1036,13.47,25.02,short,moderate,standard
auto,2024-06-21,completed,doddaballapur place,sanjay nagar depot,6,RD6747610061454649,1.94,88.61,0.8,89.41,paytm,2024-06-21 04:15:28,2024,6,4,4,0,0,late_night,1,0.1429,high_demand,1.0,0.1028,19.4,46.09,short,quick,standard
bike,2024-06-21,cancelled,rachenahalli park,bommanahalli works,6,RD6604285364799195,2.33,0.0,0.0,0.0,not_applicable,2024-06-21 23:22:09,2024,6,23,4,0,0,late_night,0,0.2857,high_demand,0.96,0.1036,23.3,0.0,short,quick,cancelled
bike,2024-08-16,cancelled,hosur sarjapur road layout place,jakkasandra run,11,RD7897341429308841,3.41,0.0,0.0,0.0,not_applicable,2024-08-16 18:21:03,2024,8,18,4,0,1,evening_rush,0,0.3333,low_demand,1.0,0.1036,18.6,0.0,short,quick,cancelled
