services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method
cab economy,2024-07-15,08:30:40.542646,completed,Balagere Harbor,Harohalli Nagar,38.0,RD3161218751875354,9.22,307.71,9.44,317.15,Amazon Pay
auto,2024-07-05,23:36:51.542646,completed,Basavanagudi 3rd Block,Bikasipura 1st Stage,14.0,RD8171514284594096,4.29,131.22,1.96,133.18,Paytm
auto,2024-07-23,11:05:37.542646,completed,Kormangala,Kothaguda Terrace,22.0,RD9376481122237926,7.35,,,,
cab economy,2024-06-24,08:45:10.542646,completed,koramangala,Kanakapura Arc,84.0,RD3676889143182765,17.48,558.48,1.57,560.05,QR scan
cab economy ,2024-07-15,00:26:44.542646,completed,Ganganagar Cove,Basaveshwaranagar Colony,38.0,RD6639410275948084,17.63,543.02,9.17,552.19,Amazon Pay
bike,2024-07-02,01:28:29.542646,completed,HSR Layout Area,JP Nagar Viewpoint,16.0,RD5922205486441934,4.28,66.71,7.71,74.42,QR scan
cab economy,2024-07-23,20:55:28.542646,completed,Arekere Heights,Dooravani Nagar Pointe,32.0,RD9557099396888459,10.37,262.2,0.04,262.24,GPay
parcel,2024-07-18,13:38:33.542646,completed,Electronic City Village,Ganganagar Station,5.0,RD9473873953525644,1.12,33.92,4.06,37.98,QR scan
bike,2024-08-08,07:59:53.542646,cancelled,Mysore Road Lane,Billekahalli 6th Block,19.0,RD1285566012167240,6.43,,,,
bike,2024-07-10,12:30 PM,completed,Kundalahalli Alley,RT Nagar 5th Block,5.0,RD7238628094142076,2.96,37.17,2.26,39.43,QR scan
auto,2024-08-03,16:57:14.542646,completed,Kormangala,Nagawara Layout,13.0,RD0988431403518514,4.05,85.23,2.03,87.26,
cab economy,2024-07-08,17:46:15.542646,completed,Bikasipura Close,Kadugodi Park,170.0,RD1746298517733148,39.72,1340.67,5.05,1345.72,Paytm
cab economy,2024-08-10,13:46:07.542646,completed,Mahadevapura Track,Whitefield Cut,10.0,RD7341504775683700,3.95,135.96,2.77,138.73,Paytm
parcel,2024-08-15,22:59:04.542646,completed,Bhadrappa Layout Vista,Subramanyapura Road,24.0,RD0256680118366791,8.14,,,,
bike,2024-07-22,13:07:16.542646,completed,Frazer Town Works,Hebbal Kempapura Viewpoint,26.0,RD7115059402806582,3.98,,,,
bike,2024-07-24,05:35:38.542646,completed,Nagawara Dam,Dommasandra Colony,15.0,RD2369646812729540,4.78,79.5,2.8,82.3,Paytm
bike,2024-07-26,18:53:03.542646,completed,Sonnenahalli Layout,Kothanur Loop,19.0,RD8047989809002405,3.75,74.86,3.41,78.27,Paytm
auto,2024-06-28,22:55:08.542646,completed,Hulimavu Cutting,HRBR Layout Valley,16.0,RD3592571330485165,3.69,101.79,8.63,110.42,Amazon Pay
auto,2024-08-08,11:59:04.542646,completed,Billekahalli Cove,Hennur Road 1st Block,15.0,RD8817673455871975,3.29,82.01,4.61,86.62,GPay
parcel,2024-08-08,00:57:02.542646,completed,Banaswadi District,Sadashiva Nagar Court,29.0,RD1385843052752492,10.97,185.27,12.62,197.89,Amazon Pay
parcel,2024-07-22,10:04:38.542646,completed,Hebbal Kempapura Ridge,Ramnagar 1st Stage,20.0,RD7208906531384606,4.5,86.38,23.24,109.62,Paytm
auto,2024-07-03,01:01:29.542646,completed,Rajarajeshwari Nagar Bridge,ITI Layout Close,26.0,RD0654632158879742,11.81,271.16,6.97,278.13,GPay
cab economy,2024-07-08,01:16:16.542646,completed,Kudlu Gate Fields,Subramanyapura Pass,58.0,RD2239177732142431,24.4,618.32,5.02,623.34,GPay
auto,2024-07-01,07:18:36.542646,completed,Byatarayanapura Plaza,Koramangala 6th Block Ridge,35.0,RD1117035760652729,15.34,282.25,1.36,283.61,GPay
bike,2024-06-21,06:23:04.542646,completed,Whitefield Hills,MG Road Hills,16.0,RD4226811079858075,3.94,50.45,2.02,52.47,GPay
auto,2024-08-03,08:46:32.542646,completed,Koramangala 4th Block Place,Jakkasandra Landing,118.0,RD1382587140891268,20.97,706.92,2.41,709.33,GPay
bike,2024-06-29,01:00:58.542646,cancelled,Balagere 1st Stage,Sonnenahalli Lane,25.0,RD4382177005818484,8.03,,,,
parcel,2024-07-02,04:10:03.542646,completed,Kothaguda Vista,Bagalur Lane,18.0,RD7958326265710860,4.36,86.55,2.95,89.5,Paytm
cab economy,2024-06-28,01:18:09.542646,completed,Jakkur Meadows,Rajarajeshwari Nagar Pass,43.0,RD1055432783395596,12.08,443.28,14.6,457.88,Paytm
cab economy,2024-07-20,12:24:50.542646,completed,Vidyaranyapura Summit,Agara Mews,37.0,RD8925634951822521,14.26,,,,
bike,2024-08-05,16:43:22.542646,completed,Kaval Byrasandra Run,Harohalli Fields,29.0,RD3943555672355131,6.73,85.14,4.18,89.32,QR scan
auto,2024-07-06,11:05:31.542646,completed,Chikkagubbi Village,Horamavu Banaswadi Alcove,30.0,RD7321545592072979,11.11,,,,
cab economy,2024-08-01,14:58:16.542646,completed,HRBR Layout Terrace,Dasarahalli Quay,13.0,RD4559266573098093,4.32,143.1,0.72,143.82,Paytm
cab economy,2024-07-22,01:09:16.542646,completed,JP Nagar 6th Block,Ganganagar Cut,18.0,RD1722345523604383,4.97,213.12,16.77,229.89,Amazon Pay
bike,2024-07-25,15:01:32.542646,completed,Bellandur Ridge,Devarachikkanahalli Heights,21.0,RD5941720751250248,6.44,69.56,4.89,74.45,Paytm
auto,12/08/2024,15:44:06.542646,completed,Kudlu Gate Farms,Attibele Plaza,5.0,RD4046588375441329,1.5,48.18,4.06,52.24,Paytm
auto,2024-07-23,10:50 AM,cancelled,Rachenahalli Depot,Madiwala Cut,35.0,RD7350321719400471,7.45,,,,
auto,2024-08-10,21:19:50.542646,completed,Dooravani Nagar Station,Avalahalli Cove,17.0,RD4144498193705965,5.15,111.2,1.46,112.66,GPay
bike,2024-07-28,17:55:30.542646,completed,Ramnagar Crescent,Jayanagar Pier,10.0,RD9772479317279932,1.42,42.85,11.0,53.85,Amazon Pay
bike,2024-07-23,16:28:51.542646,completed,koramangala,Chikkalasandra Pass,16.0,RD7577082038350614,6.05,59.07,1.85,60.92,Paytm
bike lite,2024-07-08,04:44:56.542646,completed,Bhuvaneshwari Nagar Trail,Chandra Layout Alley,8.0,RD6340674467746910,3.59,40.24,15.33,55.57,Paytm
cab economy,2024-07-23,16:31:17.542646,completed,Doddaballapur District,Sarjapur Farms,22.0,RD2235816582429647,8.49,202.1,2.26,204.36,QR scan
auto,2024-06-24,07:24:54.542646,completed,Chikkajala Quarry,JP Nagar Trail,54.0,RD1217475833620683,28.59,408.8,8.13,416.93,Paytm
bike,2024-07-22,22:37:33.542646,completed,Whitefield District,Devarachikkanahalli Esplanade,12.0,RD8131157570752979,2.49,38.56,12.78,51.34,Paytm
auto,2024-06-26,08:16:18.542646,completed,Banashankari Viewpoint,Bellandur Outer Ring Road Village,48.0,RD2539243082211667,7.81,312.1,9.05,321.15,
auto,2024-08-06,21:18:28.542646,cancelled,Sarjapur Quarry,Kengeri Close,19.0,RD1555077673954099,3.53,,,,
bike,2024-07-27,05:56:36.542646,completed,Munnekollal Square,Koramangala 7th Block Landing,59.0,RD9106570890666222,18.07,,,,
bike,2024-06-23,13:01:37.542646,completed,Koramangala 8th Block Court,Whitefield Yard,9.0,RD3499114958541606,4.45,42.64,4.12,46.76,QR scan
bike lite,2024-06-28,12:34:51.542646,completed,Kudlu Gate Cove,Hulimavu Fields,9.0,RD5465696192903363,5.39,36.75,14.46,51.21,Amazon Pay
bike lite,04/08/2024,12:14:32.542646,completed,Jakkur View,Koramangala 4th Stage,9.0,RD4518928319915400,4.23,35.16,42.71,77.87,GPay
bike,2024-08-02,08:56:58.542646,completed,Nayandahalli Meadows,Horamavu Zone,19.0,RD2000076619721455,3.91,80.31,0.42,80.73,Amazon Pay
cab economy,2024-07-07,05:18:40.542646,completed,Bommanahalli Plaza,Basavanagudi Pointe,35.0,RD6532816509887593,11.03,341.01,11.91,352.92,GPay
bike,2024-07-04,17:55:31.542646,completed,Harohalli Fields,Sanjay Nagar District,43.0,RD1904744635291394,12.98,177.53,9.59,187.12,Amazon Pay
bike,23/07/2024,17:59:05.542646,completed,Jayanagar Village,Hennur Farms,50.0,RD8085277544074809,10.44,188.64,24.25,212.89,GPay
bike,2024-08-13,01:07:33.542646,cancelled,Nagawara Nagar,Chikkalasandra 4th Stage,6.0,RD8540894002304472,3.8,,,,
bike,2024-06-24,08:16:15.542646,cancelled,Hosur Fork,Bommanahalli Passage,20.0,RD9207429821660459,1.97,,,,
auto,2024-08-06,23:49:54.542646,completed,Bikasipura Cut,Chikkagubbi 2nd Stage,15.0,RD8572097109759067,3.77,,,,
bike,2024-08-01,06:16:57.542646,completed,Marathahalli Pointe,Agara Drive,14.0,RD7335910948713877,1.3,34.18,13.72,47.9,QR scan
cab economy,2024-07-26,21:45:48.542646,completed,Kudlu District,Bikasipura Trail,39.0,RD2580649401514739,10.97,266.04,0.61,266.65,QR scan
bike,2024-08-03,15:25:44.542646,completed,Agara Plaza,HSR Layout Passage,12.0,RD0651284665872375,2.15,34.25,3.18,37.43,Amazon Pay
bike,2024-06-30,00:38:35.542646,completed,Anekal Landing,Srirampura Esplanade,14.0,RD3822808658086783,5.61,64.87,9.83,74.7,GPay
bike,2024-07-26,23:36:26.542646,completed,Dodda Banaswadi Mews,Chikka Banaswadi 6th Stage,18.0,RD6039948836070685,4.04,63.05,38.05,101.1,Paytm
auto,2024-06-21,04:15:28.542646,completed,Doddaballapur Place,Sanjay Nagar Depot,6.0,RD6747610061454649,1.94,88.61,0.8,89.41,Paytm
bike,2024-06-21,23:22:09.542646,cancelled,Rachenahalli Park,Bommanahalli Works,6.0,RD6604285364799195,2.33,,,,
bike,2024-08-16,18:21:03.542646,cancelled,Hosur Sarjapur Road Layout Place,Jakkasandra Run,11.0,RD7897341429308841,3.41,,,,
bike lite,2024-06-17,23:29:00.542646,completed,Banashankari Harbor,Shivaji Nagar Station,6.0,RD8953828714822704,2.3,30.77,36.4,67.17,Amazon Pay
auto,2024-06-21,16:36:00.542646,completed,Kadubeesanahalli Commons,Ulsoor District,16.0,RD7708304567842163,5.78,108.72,9.3,118.02,Amazon Pay
bike,2024-07-04,07:55:34.542646,completed,Kalyan Nagar Pointe,Nayandahalli Boulevard,38.0,RD6473338791702702,14.91,118.11,10.44,128.55,GPay
auto,2024-07-28,05:18:58.542646,completed,Basaveshwaranagar Pier,Madiwala Harbor,8.0,RD5731182308846565,2.18,89.28,1.36,90.64,GPay
bike,2024-07-29,03:15:49.542646,completed,Naganathapura 1st Block,Kaggalipura Circle,38.0,RD8742120338050819,9.81,127.26,0.9,128.16,Paytm
parcel,2024-06-29,12:21:33.542646,completed,Thanisandra Heights,Anekal Cove,16.0,RD7689809289833095,4.5,59.84,0.27,60.11,Amazon Pay
cab economy,2024-07-09,22:09:34.542646,completed,Nagarbhavi Station,Mahadevapura 4th Stage,28.0,RD2611926970493999,8.21,218.3,1.69,219.99,Paytm
parcel,2024-08-08,23:03:42.542646,completed,Kadugodi Hills,Rachenahalli 5th Stage,25.0,RD1947303693704861,7.65,123.77,23.47,147.24,Paytm
auto,2024-07-17,12:44:16.542646,completed,koramangala,Chikkajala Quarry,9.0,RD5130685942665307,1.63,55.84,1.34,57.18,Paytm
auto,2024-06-24,17:40:08.542646,completed,Horamavu Square,Anjanapura Viewpoint,17.0,RD1215007444107331,3.3,151.85,5.36,157.21,
bike,2024-06-20,20:30:09.542646,cancelled,Kanaka Nagar Arc,Sarjapur Cross,41.0,RD7203293909847425,15.29,,,,
bike,2024-06-19,11:21:19.542646,completed,RMV 2nd Stage Landing,Jalahalli Boulevard,6.0,RD9943873741408455,2.77,37.15,0.68,37.83,QR scan
bike,2024-06-20,04:54:57.542646,completed,Kothanur Drive,Rajarajeshwari Nagar Pointe,28.0,RD6134652415591987,7.88,98.13,6.22,104.35,Amazon Pay
bike,2024-07-17,01:04:02.542646,completed,HSR Layout Works,Lingarajapuram Square,16.0,RD8635944050857335,7.33,104.41,10.55,114.96,GPay
bike,2024-08-04,00:58:25.542646,completed,RMV 2nd Stage 3rd Block,Banerghatta Road Village,51.0,RD3380849942480231,12.53,,,,
Bike Lite,2024-07-12,06:24:03.542646,completed,Srirampura Run,KR Puram Complex,10.0,RD0435446308407909,1.89,26.21,6.47,32.68,QR scan
cab economy,2024-06-29,10:10:34.542646,completed,Madivala Square,Byatarayanapura Landing,28.0,RD6251184946210781,6.18,,,,
bike,2024-08-15,10:28:22.542646,cancelled,Yelahanka New Town Works,Mahadevapura Quarry,28.0,RD1806032245118073,4.52,,,,
bike,2024-07-26,07:54:00.542646,completed,Vijayanagar Boulevard,Kodigehalli Crescent,17.0,RD1022118407665224,2.59,44.89,14.61,59.5,Amazon Pay
cab economy,2024-07-27,21:44:36.542646,completed,Kodigehalli Park,Dooravani Nagar Garden,33.0,RD1581370576696450,9.79,235.5,0.01,235.51,GPay
bike,2024-08-10,02:51:57.542646,completed,Ramamurthy Nagar Bay,Kumaraswamy Layout Square,15.0,RD8450674279635236,2.38,60.31,4.64,64.95,
cab economy,2024-07-09,21:28:19.542646,completed,Madivala Circle,Srirampura Village,17.0,RD6309443111140680,3.04,129.7,3.33,133.03,Amazon Pay
bike,2024-06-17,13:54:48.542646,completed,Benson Town Arcade,Doddaballapur Station,10.0,RD7251101541817511,4.44,,,,
cab economy,2024-07-08,00:54:46.542646,completed,Yeshwanthpur Passage,Kothanur Square,107.0,RD7528615406219812,32.75,,,,
parcel,2024-07-07,03:37:58.542646,cancelled,Basavanagudi Esplanade,Doddanekundi Village,39.0,RD2306698615891929,13.71,,,,
bike lite,2024-06-26,21:25:58.542646,completed,Attibele Cove,Chikkagubbi Side,15.0,RD2406982706817982,6.84,48.97,13.75,62.72,GPay
auto,2024-07-08,16:44:12.542646,completed,Nagawara Way,Anekal 5th Block,14.0,RD1063446832837928,3.11,85.89,21.04,106.93,Paytm
bike,2024-07-15,05:39 AM,completed,Anekal Garden,Babusapalya Pass,16.0,RD8906309739869979,4.73,64.07,8.07,72.14,
auto,2024-07-19,09:22:47.542646,cancelled,Chikkajala Promenade,Sahakar Nagar Quay,32.0,RD0661996021871137,6.34,,,,
bike,2024-08-11,20:37:40.542646,completed,Giri Nagar 5th Stage,HRBR Layout Pier,20.0,RD7481351134212520,5.42,,,,
